road_type,hour,congestion_index
all,0,0.95308010138583
all,1,0.9700930105736
all,2,0.9837721912173616
all,3,0.994023735595786
all,4,0.9972348241346125
all,5,0.9976587610069677
all,6,0.9977994811747919
all,7,0.9997592550765864
all,8,1.0
all,9,1.0
all,10,1.0
all,11,1.0
all,12,1.0
all,13,1.0
all,14,1.0
all,15,1.0
all,16,1.0
all,17,1.0
all,18,1.0
all,19,1.0
all,20,1.0
all,21,1.0
all,22,1.0
all,23,1.0
unclassified,0,0.95308010138583
unclassified,1,0.9700930105736
unclassified,2,0.9837721912173616
unclassified,3,0.994023735595786
unclassified,4,0.9972348241346125
unclassified,5,0.9976587610069677
unclassified,6,0.9977994811747919
unclassified,7,0.9997592550765864
unclassified,8,1.0
unclassified,9,1.0
unclassified,10,1.0
unclassified,11,1.0
unclassified,12,1.0
unclassified,13,1.0
unclassified,14,1.0
unclassified,15,1.0
unclassified,16,1.0
unclassified,17,1.0
unclassified,18,1.0
unclassified,19,1.0
unclassified,20,1.0
unclassified,21,1.0
unclassified,22,1.0
unclassified,23,1.0
