purpose,bin,arrival,departure,traveltime,time
escape,10,0.007746308399903171,0.028036354833740455,0.11388393741334918,00:10
escape,20,0.036772958341585796,0.15719284346735327,0.07101516251843049,00:20
escape,30,0.051121234127770074,0.3534693338614907,0.05435619814704782,00:30
escape,40,0.05013093901982791,0.3248828150788935,0.04955876851301688,00:40
escape,50,0.04711604058009287,0.11819722277238617,0.04548755529147686,00:50
escape,60,0.045817653660790915,0.01705508241455954,0.03930371250632689,01:00
escape,70,0.045685614313065295,0.0011443410136220593,0.04368301753922669,01:10
escape,80,0.045795647102836644,2.2006557954270374E-5,0.03822539116656764,01:20
escape,90,0.03785127968134504,0.0,0.03615677471886622,01:30
escape,100,0.03782927312339077,0.0,0.03694901080521996,01:40
escape,110,0.03930371250632689,0.0,0.041900486344930786,01:50
escape,120,0.040382033846086136,0.0,0.042868774894918686,02:00
escape,130,0.03961180431768667,0.0,0.03415417794502762,02:10
escape,140,0.03901762725292137,0.0,0.04093219779494289,02:20
escape,150,0.03804933870293348,0.0,0.04031601417222332,02:30
escape,160,0.03719108294271693,0.0,0.030325036860984575,02:40
escape,170,0.037037037037037035,0.0,0.026275830197398826,02:50
escape,180,0.036288814066591846,0.0,0.030831187693932793,03:00
escape,190,0.034572302546158756,0.0,0.02772826302238067,03:10
escape,200,0.03448427631434167,0.0,0.02836645320305451,03:20
escape,210,0.026363856429215907,0.0,0.02051011201337999,03:30
escape,220,0.025637640016724986,0.0,0.025021456394005413,03:40
escape,230,0.02537356132127374,0.0,0.014876433177086772,03:50
escape,240,0.024075174401971787,0.0,0.01885962016680971,04:00
escape,250,0.022908826830395457,0.0,0.011531436368037676,04:10
escape,260,0.02244668911335578,0.0,0.0112893642305407,04:20
escape,270,0.017583239805462027,0.0,0.008032393653308685,04:30
escape,280,0.01716511520433089,0.0,0.01238969212825422,04:40
escape,290,0.008648577276028257,0.0,0.005171541119253538,04:50
escape,300,0.008560551044211174,0.0,0.0,05:00
escape,310,0.008604564160119716,0.0,0.0,05:10
escape,320,0.008538544486256905,0.0,0.0,05:20
escape,330,0.0022886820272441186,0.0,0.0,05:30
