road_type,hour,congestion_index
all,0,0.9667672391951846
all,1,0.9792858812227906
all,2,0.9866526769104764
all,3,0.990131557614593
all,4,0.9916746238324988
all,5,0.9954745263625804
all,6,0.9978838107702255
all,7,0.9980272408789507
all,8,0.9981462356840528
all,9,0.9985557227336912
all,10,1.0
all,11,1.0
all,12,1.0
all,13,1.0
all,14,1.0
all,15,1.0
all,16,1.0
all,17,1.0
all,18,1.0
all,19,1.0
all,20,1.0
all,21,1.0
all,22,1.0
all,23,1.0
unclassified,0,0.9667672391951846
unclassified,1,0.9792858812227906
unclassified,2,0.9866526769104764
unclassified,3,0.990131557614593
unclassified,4,0.9916746238324988
unclassified,5,0.9954745263625804
unclassified,6,0.9978838107702255
unclassified,7,0.9980272408789507
unclassified,8,0.9981462356840528
unclassified,9,0.9985557227336912
unclassified,10,1.0
unclassified,11,1.0
unclassified,12,1.0
unclassified,13,1.0
unclassified,14,1.0
unclassified,15,1.0
unclassified,16,1.0
unclassified,17,1.0
unclassified,18,1.0
unclassified,19,1.0
unclassified,20,1.0
unclassified,21,1.0
unclassified,22,1.0
unclassified,23,1.0
