link_id,lane_km,Avg. speed limit,road_capacity_utilization,congestion_index,speed_performance_index,Simulated traffic volume,vol_car
0,0.2072,20.01610046691354,0.0,1.0,1.0,0.0,0.0
1,0.20844,20.016111392675185,0.0,1.0,1.0,0.0,0.0
2,0.05948,20.017575021033938,0.0,1.0,1.0,0.0,0.0
3,0.04267,20.017200938232996,0.0,1.0,1.0,0.0,0.0
4,0.02547,20.02008733624454,0.0,1.0,1.0,0.0,0.0
5,0.04278,20.0166363400052,0.0,1.0,1.0,0.0,0.0
6,0.02547,20.02008733624454,0.0,1.0,1.0,0.0,0.0
7,0.05915,20.016920473773265,0.0,1.0,1.0,0.0,0.0
8,0.17394,20.016110471806673,3.534255928590462E-4,1.0,1.0,13.0,13.0
9,0.00901,20.022222222222222,0.0,1.0,1.0,0.0,0.0
10,0.00901,19.90334027777778,3.534255928590462E-4,0.994070368705036,0.994070368705036,13.0,13.0
11,0.17498,20.016141844873054,0.0,1.0,1.0,0.0,0.0
12,2.0E-4,51.42857142857143,0.0,1.0,1.0,0.0,0.0
13,0.027440000000000003,49.02495849804451,0.007182900367970558,0.9691880309506273,0.9801702183687372,403.0,403.0
14,0.027440000000000003,50.01721518987342,3.564714822814173E-5,1.0,1.0,2.0,2.0
15,2.0E-4,48.77320236426326,0.007414606831453484,0.9402166576673866,0.9483806768311187,416.0,416.0
16,0.06303,60.01269505421846,0.0,1.0,1.0,0.0,0.0
17,0.74354,60.01264488935722,0.0,1.0,1.0,0.0,0.0
18,0.74354,60.01264488935722,0.0,1.0,1.0,0.0,0.0
19,0.06303,60.01269505421846,0.0,1.0,1.0,0.0,0.0
20,0.20188,60.01387283236995,0.0,1.0,1.0,0.0,0.0
21,0.20188,60.01387283236995,0.0,1.0,1.0,0.0,0.0
22,0.02459,70.03481012658227,0.0,1.0,1.0,0.0,0.0
23,0.12102,69.98746987951807,0.0,1.0,1.0,0.0,0.0
24,0.12102,69.98746987951807,0.0,1.0,1.0,0.0,0.0
25,0.02459,70.03481012658227,0.0,1.0,1.0,0.0,0.0
26,0.29638,90.00151834668917,0.0,1.0,1.0,0.0,0.0
27,0.29638,90.00151834668917,0.0,1.0,1.0,0.0,0.0
28,0.35033,90.00128452151573,0.0,1.0,1.0,0.0,0.0
29,0.06712,69.99768250289688,0.0,1.0,1.0,0.0,0.0
30,0.06712,69.99768250289688,0.0,1.0,1.0,0.0,0.0
31,0.35033,90.00128452151573,0.0,1.0,1.0,0.0,0.0
32,0.02416,70.02898550724639,0.0,1.0,1.0,0.0,0.0
33,0.02416,70.02898550724639,0.0,1.0,1.0,0.0,0.0
34,0.10499,60.01333756748174,0.0,1.0,1.0,0.0,0.0
35,0.02665,40.00834028356964,0.0,1.0,1.0,0.0,0.0
36,0.04133,60.019362646228316,0.0,1.0,1.0,0.0,0.0
37,0.04133,60.019362646228316,0.0,1.0,1.0,0.0,0.0
38,0.10499,60.01333756748174,0.0,1.0,1.0,0.0,0.0
39,0.02665,40.00834028356964,0.0,1.0,1.0,0.0,0.0
40,0.38083999999999996,39.99603255637562,0.0,1.0,1.0,0.0,0.0
41,0.38083999999999996,39.99603255637562,0.0,1.0,1.0,0.0,0.0
42,0.17794,60.01349072512648,0.0,1.0,1.0,0.0,0.0
43,0.17794,60.01349072512648,0.0,1.0,1.0,0.0,0.0
44,0.03345,60.02991026919244,0.0,1.0,1.0,0.0,0.0
45,0.13817,60.01592664092663,0.0,1.0,1.0,0.0,0.0
46,1.1E-4,10.153846153846155,0.0,1.0,1.0,0.0,0.0
47,0.13817,60.01592664092663,0.0,1.0,1.0,0.0,0.0
48,0.03345,60.02991026919244,0.0,1.0,1.0,0.0,0.0
49,0.0019299999999999999,10.011527377521615,0.0,1.0,1.0,0.0,0.0
50,0.06345,60.015764582238575,0.0,1.0,1.0,0.0,0.0
51,0.06345,60.015764582238575,0.0,1.0,1.0,0.0,0.0
52,0.01103,60.07261724659606,0.0,1.0,1.0,0.0,0.0
53,0.01103,60.07261724659606,0.0,1.0,1.0,0.0,0.0
54,2.0E-4,180.0,0.0,1.0,1.0,0.0,0.0
55,0.03768,60.0212389380531,0.0,1.0,1.0,0.0,0.0
56,0.037649999999999996,50.01476014760148,0.0,1.0,1.0,0.0,0.0
57,0.037649999999999996,50.01476014760148,0.0,1.0,1.0,0.0,0.0
58,0.03768,60.0212389380531,0.0,1.0,1.0,0.0,0.0
59,0.37659,90.0035849432384,0.0,1.0,1.0,0.0,0.0
60,0.66611,90.00135114847622,0.0,1.0,1.0,0.0,0.0
61,0.66611,90.00135114847622,0.0,1.0,1.0,0.0,0.0
62,0.37659,90.0035849432384,0.0,1.0,1.0,0.0,0.0
63,0.06728,90.00668896321072,0.0,1.0,1.0,0.0,0.0
64,0.06728,90.00668896321072,0.0,1.0,1.0,0.0,0.0
65,0.196,69.98611386629636,0.0,1.0,1.0,0.0,0.0
66,0.76709,60.012256606397784,0.0,1.0,1.0,0.0,0.0
67,0.76709,60.012256606397784,0.0,1.0,1.0,0.0,0.0
68,0.196,69.98611386629636,0.0,1.0,1.0,0.0,0.0
69,0.06636,60.02412060301507,0.0,1.0,1.0,0.0,0.0
70,0.06636,60.02412060301507,0.0,1.0,1.0,0.0,0.0
71,0.015460000000000002,80.08057553956836,0.0,1.0,1.0,0.0,0.0
72,0.64832,90.00277649236466,0.0,1.0,1.0,0.0,0.0
73,0.64832,90.00277649236466,0.0,1.0,1.0,0.0,0.0
74,0.015460000000000002,80.08057553956836,0.0,1.0,1.0,0.0,0.0
75,0.27835000000000004,90.0,0.0,1.0,1.0,0.0,0.0
76,0.27835000000000004,90.0,0.0,1.0,1.0,0.0,0.0
77,0.0251,40.00000000000001,0.0,1.0,1.0,0.0,0.0
78,0.04302,90.04186046511629,0.0,1.0,1.0,0.0,0.0
79,0.04302,90.04186046511629,0.0,1.0,1.0,0.0,0.0
80,0.0251,40.00000000000001,0.0,1.0,1.0,0.0,0.0
81,0.06583,90.00683630839346,0.0,1.0,1.0,0.0,0.0
82,0.44269,90.00304964138476,0.0,1.0,1.0,0.0,0.0
83,0.06583,90.00683630839346,0.0,1.0,1.0,0.0,0.0
84,0.44269,90.00304964138476,0.0,1.0,1.0,0.0,0.0
85,0.01077,90.16744186046512,0.0,1.0,1.0,0.0,0.0
86,2.0E-4,40.00000000000001,0.0,1.0,1.0,0.0,0.0
